id,trade_code,name
1,000001,华夏成长
2,000003,中海可转债债券A
3,000004,中海可转债债券C
4,000005,嘉实增强信用定期债券
5,000006,西部利得量化成长混合
6,000008,嘉实中证500ETF联接A
7,000009,易方达天天理财货币A
8,000010,易方达天天理财货币B
9,000011,华夏大盘精选
10,000013,易方达天天理财货币R
11,000014,华夏聚利债券
12,000015,华夏纯债债券A
13,000016,华夏纯债债券C
14,000017,财通可持续混合
15,000020,景顺长城品质投资混合
16,000021,华夏优势增长混合
17,000024,大摩双利增强债券A
18,000025,大摩双利增强债券C
19,000028,华富保本混合
20,000029,富国宏观策略
21,000030,长城久利保本混合
22,000031,华夏复兴混合
23,000032,易方达信用债债券A
24,000033,易方达信用债债券C
25,000037,广发理财7天债券A
26,000038,广发理财7天债券B
27,000039,农银高增长混合
28,000041,华夏全球精选
29,000042,中证财通可持续发展100指数A
30,000043,嘉实美国成长股票
31,000044,嘉实美国成长股票现汇
32,000045,工银产业债A
33,000046,工银产业债B
34,000047,华夏双债增强债券A
35,000048,华夏双债增强债券C
36,000049,中银标普全球资源等权重指数
37,000051,华夏沪深300ETF联接A
38,000053,鹏华永诚一年定开债券
39,000054,鹏华双债增利债券
40,000055,广发纳斯达克100美元现汇A
41,000056,建信消费升级混合
42,000057,中银消费主题混合
43,000058,国联安保本混合
44,000059,国联安中证医药100A
45,000061,华夏盛世混合
46,000063,长盛电子信息主题灵活配置混合
47,000064,大摩18个月定期开放债券
48,000065,国富焦点驱动混合
49,000066,诺安鸿鑫保本混合
50,000067,民生加银转债优选A
51,000068,民生加银转债优选C
52,000069,国投瑞银中高等级债券A
53,000070,国投瑞银中高等级债券C
54,000071,华夏恒生ETF联接A
55,000072,华安保本混合
56,000073,上投成长动力
57,000074,工银信用纯债一年定开债券A
58,000075,华夏恒生ETF联接现汇
59,000076,华夏恒生ETF联接现钞
60,000077,工银信用纯债一年定开债券C
61,000078,工银信用纯债两年定开债A
62,000079,工银信用纯债两年定开债C
63,000080,天治可转债增强债券A
64,000081,天治可转债增强债券C
65,000082,嘉实研究阿尔法股票
66,000083,汇添富消费行业混合
67,000084,博时安盈债券A
68,000085,博时安盈债券C
69,000086,南方稳利1年定开债A
70,000087,嘉实中证金边国债ETF联接A
71,000088,嘉实中证金边国债ETF联接C
72,000089,民生加银家盈理财月度A
73,000090,民生加银家盈理财月度B
74,000091,信诚新双盈分级债券
75,000092,信诚新双盈分级债券A
76,000093,信诚新双盈分级债券B
77,000103,国泰中国企业境外高收益债券
78,000104,华宸未来稳健添利债券A
79,000105,建信安心回报债券A
80,000106,建信安心回报债券C
81,000107,富国稳健增强债券A/B
82,000109,富国稳健增强债券C
83,000110,金鹰元安混合A
84,000111,易方达纯债1年定开债A
85,000112,易方达纯债1年定开债C
86,000113,嘉实如意宝定期债券A
87,000115,嘉实如意宝定期债券C
88,000116,嘉实丰益纯债定期债券
89,000117,广发轮动配置混合
90,000118,广发聚鑫债券A
91,000119,广发聚鑫债券C
92,000120,中银美丽中国混合
93,000121,华夏永福混合A
94,000122,汇添富实业债债券A
95,000123,汇添富实业债债券C
96,000124,华宝服务优选混合
97,000126,招商安润保本混合
98,000127,农银行业领先混合
99,000128,大成景安短融债券A
100,000129,大成景安短融债券B
101,000130,大成景兴信用债债券A
102,000131,大成景兴信用债债券C
103,000134,信诚理财28日盈A
104,000135,信诚理财28日盈B
105,000136,民生加银策略精选混合
106,000137,民生加银岁岁增利债券A
107,000138,民生加银岁岁增利债券C
108,000139,富国国有企业债债券A
109,000141,富国国有企业债C级
110,000142,融通通泰保本混合A
111,000143,鹏华双债加利债券
112,000147,易方达高等级信用债债券A
113,000148,易方达高等级信用债债券C
114,000149,华安双债添利债券A
115,000150,华安双债添利债券C
116,000152,大成景旭纯债债券A
117,000153,大成景旭纯债债券C
118,000165,国投瑞银策略精选混合
119,000166,中海策略精选灵活配置混合
120,000167,广发聚优灵活配置混合A
121,000171,易方达裕丰回报债券
122,000172,华泰柏瑞量化增强混合A
123,000173,汇添富美丽30混合
124,000174,汇添富高息债债券A
125,000175,汇添富高息债债券C
126,000176,嘉实沪深300指数研究增强
127,000179,广发美国房地产指数
128,000180,广发美国房地产指数现汇
129,000181,景顺长城四季金利债券A
130,000182,景顺长城四季金利债券C
131,000183,嘉实丰益策略定期债券
132,000184,工银添福债券A
133,000185,工银添福债券B
134,000186,华泰柏瑞季季红债券
135,000187,华泰柏瑞丰盛纯债债券A
136,000188,华泰柏瑞丰盛纯债债券C
137,000189,易方达丰华债券A
138,000190,中银新回报灵活配置混合
139,000191,富国信用债债券A/B
140,000192,富国信用债债券C
141,000194,银华信用四季红债券A
142,000195,工银保本3号混合A
143,000196,工银保本3号混合B
144,000197,富国目标收益一年期纯债债券
145,000198,天弘余额宝货币
146,000199,国泰量化策略收益混合
147,000200,博时岁岁增利一年定开债
148,000201,诺安泰鑫一年定期开放债券A
149,000202,富国目标收益两年期纯债债券
150,000203,国富日日收益货币A
151,000204,国富日日收益货币B
152,000205,易方达投资级信用债债券A
153,000206,易方达投资级信用债债券C
154,000207,建信双债增强债券A
155,000208,建信双债增强债券C
156,000209,信诚新兴产业混合
157,000210,光大现金宝货币A
158,000211,光大现金宝货币B
159,000212,泰信鑫益定期开放A
160,000213,泰信鑫益定期开放C
161,000214,广发成长优选混合
162,000215,广发趋势优选灵活配置
163,000216,华安黄金易ETF联接A
164,000217,华安黄金易ETF联接C
165,000218,国泰黄金ETF联接A
166,000219,博时裕益灵活配置
167,000220,富国医疗保健行业混合
168,000221,汇添富年年利定开债A
169,000222,汇添富年年利定开债C
170,000225,长盛年年收益定期开放债券A
171,000226,长盛年年收益定期开放债券C
172,000227,华安年年红债券A
173,000235,诺安稳固收益一年定开债券
174,000236,工银月月薪定期支付债券A
175,000237,国投瑞银一年定开债A
176,000238,国投瑞银一年定开债C
177,000239,华安年年盈定开债A
178,000240,华安年年盈定开债C
179,000241,宝盈核心优势混合C
180,000242,景顺长城策略精选灵活配置混合
181,000244,天弘稳利定期开放A
182,000245,天弘稳利定期开放B
183,000246,博时月月薪定期支付债券
184,000248,汇添富中证主要消费ETF联接
185,000251,工银金融地产混合
186,000252,景顺长城景兴信用纯债债券A
187,000253,景顺长城景兴信用纯债债券C
188,000254,长城增强收益定开债券A
189,000255,长城增强收益定开债券C
190,000256,上投摩根红利回报混合A
191,000259,农银区间收益混合
192,000263,工银信息产业混合
193,000264,博时内需增长混合
194,000265,易方达恒久添利1年定开债A
195,000266,易方达恒久添利1年定开债C
196,000267,广发集利一年定开债A
197,000268,广发集利一年定开债C
198,000269,嘉实合润双债两年期定期债券
199,000270,建信安心保本混合
200,000271,中邮定开债A
201,000272,中邮定开债C
202,000273,华润元大安鑫灵活配置混合
203,000274,广发亚太中高收益债券
204,000275,广发亚太中高收益债券现汇
205,000277,博时双月薪定期支付债券
206,000279,华商红利优选混合
207,000286,银华信用季季红债券A
208,000289,鹏华丰泰定期开放债券A
209,000290,鹏华全球高收益债
210,000294,华安生态优先混合
211,000295,鹏华丰实定期开放债券A
212,000296,鹏华丰实定期开放债券B
213,000297,鹏华可转债债券
214,000298,中海纯债债券A
215,000299,中海纯债债券C
216,000300,德邦德利货币A
217,000301,德邦德利货币B
218,000303,长盛双月红定期债券A
219,000304,长盛双月红定期债券C
220,000305,中银中高等级A
221,000306,天弘弘利债券
222,000307,易方达黄金ETF联接A
223,000308,建信创新中国混合
224,000309,大摩品质生活精选股票
225,000310,安信永利信用A
226,000311,景顺长城沪深300增强
227,000312,华安沪深300增强A
228,000313,华安沪深300增强C
229,000314,招商瑞丰灵活配置混合发起式
230,000316,中海惠利分级债券
231,000317,中海惠利分级债券A
232,000318,中海惠利分级债券B
233,000319,泰达淘利债券A
234,000320,泰达淘利债券C
235,000322,农银14天理财A
236,000323,农银14天理财B
237,000324,华润元大现金收益货币A
238,000325,华润元大现金收益货币B
239,000326,南方中小盘成长股票
240,000327,南方新蓝筹混合
241,000328,上投摩根转型动力灵活配置混
242,000329,鹏华丰饶定开债
243,000330,汇添富现金宝货币
244,000331,中加货币A
245,000332,中加货币C
246,000333,长城稳固收益债券A
247,000334,长城稳固收益债券C
248,000335,安信永利信用C
249,000336,农银研究精选
250,000338,鹏华双债保利债券
251,000339,长城医疗保健混合
252,000341,嘉实新兴市场C2(QDII)
253,000342,嘉实新兴市场A1(QDII
254,000343,华夏财富宝货币A
